# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60394.100000,764605439.990460,-400170.472208,-20338.932442,-6933.039589,0.174435,-0.421734,-0.285885
60394.120000,764607167.997151,-399916.933274,-21061.737010,-7351.203207,0.117784,-0.416282,-0.197569
60394.140000,764608896.031921,-399768.295048,-21783.124320,-7613.554135,0.052614,-0.420432,-0.105269
60394.160000,764610624.032142,-399741.717141,-22521.961602,-7711.714035,-0.024104,-0.437155,-0.007222
60394.180000,764612352.015316,-399860.915223,-23304.273079,-7634.050601,-0.117093,-0.472003,0.098578
60394.200000,764614079.967839,-400160.102157,-24169.628890,-7365.456018,-0.234080,-0.535782,0.214020
60394.220000,764615807.987242,-400691.175877,-25185.249419,-6888.823562,-0.388338,-0.651403,0.338831
60394.240000,764617535.988727,-401536.515156,-26480.829139,-6195.734435,-0.602486,-0.873813,0.459643
60394.260000,764619264.025440,-402821.501081,-28347.420984,-5349.283338,-0.895911,-1.350080,0.483908
60394.280000,764620991.966297,-404556.351999,-31431.510339,-4859.864260,-1.004874,-2.268283,-0.104886
60394.300000,764622720.047555,-405656.097544,-35638.860657,-6148.283087,-0.186211,-2.316238,-1.267979
60394.320000,764624448.027957,-405446.723270,-39067.407777,-8602.079703,0.334172,-1.678828,-1.463601
60394.340000,764626175.961021,-404700.937578,-41587.211821,-11049.568258,0.497922,-1.273606,-1.355411
60394.360000,764627903.995851,-403789.165916,-43559.051627,-13272.131842,0.546789,-1.027014,-1.217335
60394.380000,764629631.990254,-402834.683319,-45183.607615,-15262.446190,0.553589,-0.863305,-1.088413
60394.400000,764631360.004319,-401886.423188,-46569.439586,-17040.978191,0.541808,-0.746676,-0.972015
60394.420000,764633088.027482,-400967.646319,-47780.905307,-18627.795435,0.520376,-0.659393,-0.866080
60394.440000,764634815.997072,-400091.352635,-48859.620361,-20038.701558,0.493071,-0.591892,-0.768065
60394.460000,764636543.992344,-399266.030268,-49834.636403,-21285.483726,0.461534,-0.538653,-0.675763
60394.480000,764638271.982892,-398498.366120,-50727.482563,-22376.359988,0.426387,-0.496367,-0.587344
60394.500000,764640000.032005,-397794.471901,-51555.241107,-23316.702993,0.387670,-0.463038,-0.501256
60394.520000,764641728.011082,-397160.815893,-52332.267169,-24109.266236,0.345036,-0.437562,-0.416123
60394.540000,764643455.986579,-396604.700343,-53071.704259,-24754.598788,0.297776,-0.419517,-0.330632
60394.560000,764645184.013866,-396134.992391,-53786.516796,-25250.959110,0.244787,-0.409133,-0.243454
60394.580000,764646911.973481,-395762.943843,-54490.630316,-25594.183173,0.184436,-0.407409,-0.153157
60394.600000,764648639.994654,-395503.205690,-55200.684343,-25777.531857,0.114293,-0.416452,-0.058109
60394.620000,764650368.030600,-395375.674345,-55938.333165,-25791.200812,0.030656,-0.440221,0.043562
60394.640000,764652095.965449,-395408.341740,-56734.737363,-25622.006408,-0.072361,-0.486205,0.153872
60394.660000,764653824.043080,-395642.484857,-57639.837261,-25253.592391,-0.204641,-0.569485,0.274154
60394.680000,764655552.006338,-396142.059104,-58742.884568,-24670.596667,-0.383281,-0.723691,0.400574
60394.700000,764657280.011080,-397009.159884,-60228.486919,-23882.604176,-0.634596,-1.034430,0.499629
60394.720000,764659007.992632,-398369.185545,-62530.161009,-23070.151926,-0.928064,-1.716069,0.354346
60394.740000,764660736.030259,-399872.875764,-66292.570929,-23241.206119,-0.606807,-2.493117,-0.717443
60394.760000,764662464.016005,-400145.841044,-70270.432225,-25277.712664,0.210843,-1.993654,-1.433531
60394.780000,764664191.963469,-399460.858367,-73212.901107,-27783.072496,0.522691,-1.456593,-1.420723
60394.800000,764665920.035066,-398457.298547,-75430.356864,-30127.696394,0.620116,-1.136294,-1.288678
60394.820000,764667648.014912,-397357.316114,-77206.353713,-32236.240156,0.646061,-0.933082,-1.153430
60394.840000,764669376.011092,-396240.628295,-78691.012534,-34121.004183,0.643288,-0.793148,-1.030127
60394.860000,764671103.981891,-395141.889798,-79968.886906,-35803.094932,0.626791,-0.690816,-0.918526
60394.880000,764672832.013892,-394078.799120,-81092.388028,-37300.747217,0.602621,-0.612827,-0.816165
60394.900000,764674560.038310,-393062.074208,-82096.556932,-38627.746333,0.573412,-0.551782,-0.720652
60394.920000,764676288.016181,-392099.329402,-83006.565305,-39794.100932,0.540282,-0.503318,-0.629968
60394.940000,764678016.014454,-391196.927465,-83841.714750,-40806.707861,0.503568,-0.464791,-0.542428
60394.960000,764679743.999270,-390361.143419,-84617.689376,-41669.691617,0.463131,-0.434647,-0.456572
60394.980000,764681471.986835,-389598.793891,-85348.206724,-42384.804110,0.418458,-0.412102,-0.371060
60395.000000,764683200.036842,-388917.872685,-86046.220589,-42951.532197,0.368675,-0.397030,-0.284584
60395.020000,764684927.986932,-388328.340998,-86724.954153,-43366.997357,0.312460,-0.389991,-0.195784
60395.040000,764686656.000376,-387842.840869,-87399.451469,-43625.939848,0.247850,-0.392434,-0.103138
