# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60398.280000,764966661.182527,149709472.765562,44.688373,-0.005410
60398.300000,764968389.182527,149709245.819483,44.583761,-0.005410
60398.320000,764970117.182527,149709014.040127,44.478429,-0.005410
60398.340000,764971845.182527,149708777.428089,44.372384,-0.005411
60398.360000,764973573.182526,149708535.983961,44.265630,-0.005411
60398.380000,764975301.182526,149708289.708339,44.158172,-0.005411
60398.400000,764977029.182526,149708038.601814,44.050018,-0.005411
60398.420000,764978757.182525,149707782.664982,43.941171,-0.005411
60398.440000,764980485.182525,149707521.898435,43.831637,-0.005411
60398.460000,764982213.182525,149707256.302767,43.721422,-0.005411
60398.480000,764983941.182524,149706985.878572,43.610531,-0.005410
60398.500000,764985669.182524,149706710.626443,43.498970,-0.005410
60398.520000,764987397.182524,149706430.546911,43.386745,-0.005410
60398.540000,764989125.182524,149706145.640254,43.273861,-0.005409
60398.560000,764990853.182523,149705855.906685,43.160327,-0.005409
60398.580000,764992581.182523,149705561.346419,43.046149,-0.005408
60398.600000,764994309.182523,149705261.959672,42.931335,-0.005408
60398.620000,764996037.182523,149704957.746656,42.815892,-0.005407
60398.640000,764997765.182522,149704648.707587,42.699826,-0.005406
60398.660000,764999493.182522,149704334.842680,42.583146,-0.005405
60398.680000,765001221.182522,149704016.152147,42.465857,-0.005404
60398.700000,765002949.182521,149703692.636205,42.347968,-0.005403
60398.720000,765004677.182521,149703364.295067,42.229485,-0.005402
60398.740000,765006405.182521,149703031.128948,42.110415,-0.005401
60398.760000,765008133.182521,149702693.138054,41.990766,-0.005399
60398.780000,765009861.182520,149702350.322418,41.870546,-0.005398
60398.800000,765011589.182520,149702002.681896,41.749765,-0.005396
60398.820000,765013317.182520,149701650.216336,41.628431,-0.005394
60398.840000,765015045.182520,149701292.925587,41.506555,-0.005393
60398.860000,765016773.182519,149700930.809499,41.384146,-0.005391
60398.880000,765018501.182519,149700563.867920,41.261213,-0.005389
60398.900000,765020229.182519,149700192.100699,41.137767,-0.005386
